ZIP.x,NUMB,ZIP_END,lng_start,lat_start,lng_end,lat_end,distance_metres,zip_tot_dist,distance_reed_pdx,co2_emission_air_km,portland_native,num,car_fuel_econ,international,pdx_airport,distance_km,co2_emission_car_km,tot_co2_output,everyones_output,city,abb_state,state,ZCTA,Population,Density,Primary Official County Code,Primary Official County Name,County Weights,Official County Name,Official County Code,Imprecise,Military,Timezone,Geo Point
1037,1,97218,-72.19,42.38,-122.59,45.58,3986128.8732153415,3986.13,20.9215,90,no,1,10.93,no,PDX,3986.13,251.03,364003.624145,269186314.7768758,Hardwick,MA,Massachusetts,TRUE,747,20.4,25027,Worcester,"{""25027"": ""100""}",Worcester,25027,FALSE,FALSE,America/New_York,"42.37011, -72.19771"
1068,1,97218,-72.05,42.35,-122.59,45.58,3998036.9851071625,3998.04,20.9215,90,no,2,10.93,no,PDX,3998.04,251.03,365075.524145,269186314.7768758,Oakham,MA,Massachusetts,TRUE,1833,34,25027,Worcester,"{""25027"": ""100""}",Worcester,25027,FALSE,FALSE,America/New_York,"42.35002, -72.04606"
1072,1,97218,-72.42,42.46,-122.59,45.58,3965254.7566162883,3965.25,20.9215,90,no,3,10.93,no,PDX,3965.25,251.03,362124.424145,269186314.7768758,Shutesbury,MA,Massachusetts,TRUE,1478,28.4,25011,Franklin,"{""25011"": ""100""}",Franklin,25011,FALSE,FALSE,America/New_York,"42.45737, -72.41841"
1075,1,97218,-72.58,42.26,-122.59,45.58,3961730.065420038,3961.73,20.9215,90,no,4,10.93,no,PDX,3961.73,251.03,361807.624145,269186314.7768758,South Hadley,MA,Massachusetts,TRUE,17703,385.8,25015,Hampshire,"{""25015"": ""100""}",Hampshire,25015,FALSE,FALSE,America/New_York,"42.25674, -72.57923"
1267,1,97218,-73.3,42.6,-122.59,45.58,3892581.4650961016,3892.58,20.9215,90,no,5,10.93,no,PDX,3892.58,251.03,355584.124145,269186314.7768758,Williamstown,MA,Massachusetts,TRUE,7753,54.9,25003,Berkshire,"{""25003"": ""100""}",Berkshire,25003,FALSE,FALSE,America/New_York,"42.67197, -73.23904"
1451,1,97218,-71.58,42.5,-122.59,45.58,4027135.584632778,4027.14,20.9215,90,no,6,10.93,no,PDX,4027.14,251.03,367694.524145,269186314.7768758,Harvard,MA,Massachusetts,TRUE,4731,95.3,25027,Worcester,"{""25027"": ""100""}",Worcester,25027,FALSE,FALSE,America/New_York,"42.50124, -71.57378"
1568,1,97218,-71.6,42.18,-122.59,45.58,4039558.885043192,4039.56,20.9215,90,no,7,10.93,no,PDX,4039.56,251.03,368812.324145,269186314.7768758,Upton,MA,Massachusetts,TRUE,7894,142.1,25027,Worcester,"{""25027"": ""100""}",Worcester,25027,FALSE,FALSE,America/New_York,"42.17702, -71.60462"
1730,1,97218,-71.28,42.5,-122.59,45.58,4049820.742933853,4049.82,20.9215,90,no,8,10.93,no,PDX,4049.82,251.03,369735.724145,269186314.7768758,Bedford,MA,Massachusetts,TRUE,14070,396.5,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.49697, -71.27833"
1748,1,97218,-71.53,42.23,-122.59,45.58,4042670.377209075,4042.67,20.9215,90,no,9,10.93,no,PDX,4042.67,251.03,369092.224145,269186314.7768758,Hopkinton,MA,Massachusetts,TRUE,17598,259.1,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.2255, -71.53779"
1772,1,97218,-71.54,42.3,-122.59,45.58,4038850.280295963,4038.85,20.9215,90,no,10,10.93,no,PDX,4038.85,251.03,368748.424145,269186314.7768758,Southborough,MA,Massachusetts,TRUE,9526,270.4,25027,Worcester,"{""25027"": ""100""}",Worcester,25027,FALSE,FALSE,America/New_York,"42.30144, -71.53041"
1776,1,97218,-71.42,42.39,-122.59,45.58,4044010.7279339875,4044.01,20.9215,90,no,11,10.93,no,PDX,4044.01,251.03,369212.824145,269186314.7768758,Sudbury,MA,Massachusetts,TRUE,19122,304.6,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.38473, -71.4234"
1801,2,97218,-71.16,42.49,-122.59,45.58,4059325.0578581155,8118.65,20.9215,90,no,12,10.93,no,PDX,4059.33,251.03,370591.624145,269186314.7768758,Woburn,MA,Massachusetts,TRUE,40359,1230.2,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.487, -71.15426"
1810,1,97218,-71.17,42.65,-122.59,45.58,4051648.6693401737,4051.65,20.9215,90,no,13,10.93,no,PDX,4051.65,251.03,369900.424145,269186314.7768758,Andover,MA,Massachusetts,TRUE,35816,448.6,25009,Essex,"{""25009"": ""100""}",Essex,25009,FALSE,FALSE,America/New_York,"42.64655, -71.16505"
1845,1,97218,-71.08,42.67,-122.59,45.58,4057580.8653794657,4057.58,20.9215,90,no,14,10.93,no,PDX,4057.58,251.03,370434.124145,269186314.7768758,North Andover,MA,Massachusetts,TRUE,30842,453.1,25009,Essex,"{""25009"": ""100""}",Essex,25009,FALSE,FALSE,America/New_York,"42.67135, -71.08653"
1945,1,97218,-70.84,42.51,-122.59,45.58,4082630.6264320775,4082.63,20.9215,90,no,15,10.93,no,PDX,4082.63,251.03,372688.624145,269186314.7768758,Marblehead,MA,Massachusetts,TRUE,20500,1803.2,25009,Essex,"{""25009"": ""100""}",Essex,25009,FALSE,FALSE,America/New_York,"42.49911, -70.86368"
2043,1,97218,-70.88,42.22,-122.59,45.58,4092328.2045815336,4092.33,20.9215,90,no,16,10.93,no,PDX,4092.33,251.03,373561.624145,269186314.7768758,Hingham,MA,Massachusetts,TRUE,23652,411.7,25023,Plymouth,"{""25023"": ""100""}",Plymouth,25023,FALSE,FALSE,America/New_York,"42.21678, -70.88499"
2050,1,97218,-70.7,42.1,-122.59,45.58,4111273.824969991,4111.27,20.9215,90,no,17,10.93,no,PDX,4111.27,251.03,375266.22414500004,269186314.7768758,Marshfield,MA,Massachusetts,TRUE,26222,347.9,25023,Plymouth,"{""25023"": ""100""}",Plymouth,25023,FALSE,FALSE,America/New_York,"42.11488, -70.71475"
