,,portland_native,airplane_distance,international,pdx_airport,distance_km
1,1,no,,no,PDX,3986.13
2,2,no,,no,PDX,3998.04
3,3,no,,no,PDX,3965.25
4,4,no,,no,PDX,3961.73
5,5,no,,no,PDX,3892.58
6,6,no,,no,PDX,4027.14
7,7,no,,no,PDX,4039.56
8,8,no,,no,PDX,4049.82
9,9,no,,no,PDX,4042.67
10,10,no,,no,PDX,4038.85
11,11,no,,no,PDX,4044.01
12,12,no,,no,PDX,4059.33
13,13,no,,no,PDX,4051.65
14,14,no,,no,PDX,4057.58
15,15,no,,no,PDX,4082.63
16,16,no,,no,PDX,4092.33
17,17,no,,no,PDX,4111.27
18,18,no,,no,PDX,4101.09
19,19,no,,no,PDX,4073.72
20,20,no,,no,PDX,4070.21
21,21,no,,no,PDX,4066.39
22,22,no,,no,PDX,4065.95
23,23,no,,no,PDX,4068.65
24,24,no,,no,PDX,4068.97
25,25,no,,no,PDX,4070.25
26,26,no,,no,PDX,4068.19
27,27,no,,no,PDX,4081.24
28,28,no,,no,PDX,4083.78
29,29,no,,no,PDX,4056.09
30,30,no,,no,PDX,4056.21
31,31,no,,no,PDX,4068.89
32,32,no,,no,PDX,4055.68
33,33,no,,no,PDX,4063.16
34,34,no,,no,PDX,4061.65
35,35,no,,no,PDX,4060.13
36,36,no,,no,PDX,4066.74
37,37,no,,no,PDX,4061.01
38,38,no,,no,PDX,4063.04
39,39,no,,no,PDX,4062.37
40,40,no,,no,PDX,4060.86
41,41,no,,no,PDX,4061.73
42,42,no,,no,PDX,4144.44
43,43,no,,no,PDX,4157.63
44,44,no,,no,PDX,4097.98
45,45,no,,no,PDX,4113.76
46,46,no,,no,PDX,4076.85
47,47,no,,no,PDX,4072.05
48,48,no,,no,PDX,4070.57
49,49,no,,no,PDX,4066.9
50,50,no,,no,PDX,3951.5
51,51,no,,no,PDX,4061.6
52,52,no,,no,PDX,4049.77
53,53,no,,no,PDX,4049.51
54,54,no,,no,PDX,4101.89
55,55,no,,no,PDX,4192.81
56,56,no,,no,PDX,4187.51
57,57,no,,no,PDX,4194.77
58,58,no,,no,PDX,3918.92
59,59,no,,no,PDX,3929.63
60,60,no,,no,PDX,3846.98
61,61,no,,no,PDX,3846.87
62,62,no,,no,PDX,3913.71
63,63,no,,no,PDX,4046.89
64,64,no,,no,PDX,3988.41
65,65,no,,no,PDX,3969.64
66,66,no,,no,PDX,3948.16
67,67,no,,no,PDX,3940.33
68,68,no,,no,PDX,3953.48
69,69,no,,no,PDX,3901.88
70,70,no,,no,PDX,3917.38
71,71,no,,no,PDX,3897.42
72,72,no,,no,PDX,3898.49
73,73,no,,no,PDX,3929.9
74,74,no,,no,PDX,3923.37
75,75,no,,no,PDX,3857.48
76,76,no,,no,PDX,3873.68
77,77,no,,no,PDX,3894.96
78,78,no,,no,PDX,3889.13
79,79,no,,no,PDX,3869.91
80,80,no,,no,PDX,3886.45
81,81,no,,no,PDX,3892.99
82,82,no,,no,PDX,3883.19
83,83,no,,no,PDX,3894.96
84,84,no,,no,PDX,3880.03
85,85,no,,no,PDX,3887.26
86,86,no,,no,PDX,3870.68
87,87,no,,no,PDX,3899.3
88,88,no,,no,PDX,3922.91
89,89,no,,no,PDX,3923.22
90,90,no,,no,PDX,3921.22
91,91,no,,no,PDX,3920.45
92,92,no,,no,PDX,3920.91
93,93,no,,no,PDX,3920.3
94,94,no,,no,PDX,3920.76
95,95,no,,no,PDX,3922.02
96,96,no,,no,PDX,3921.06
97,97,no,,no,PDX,3922
98,98,no,,no,PDX,3921.22
99,99,no,,no,PDX,3921.22
100,100,no,,no,PDX,3923.83
101,101,no,,no,PDX,3921.07
102,102,no,,no,PDX,3923.21
103,103,no,,no,PDX,3921.23
104,104,no,,no,PDX,3921.11
105,105,no,,no,PDX,3895.93
106,106,no,,no,PDX,3918.81
107,107,no,,no,PDX,3914.48
108,108,no,,no,PDX,3933.98
109,109,no,,no,PDX,3925.85
110,110,no,,no,PDX,3921.39
111,111,no,,no,PDX,3920.49
112,112,no,,no,PDX,3911.03
113,113,no,,no,PDX,3911.77
114,114,no,,no,PDX,3924.9
115,115,no,,no,PDX,3923.83
116,116,no,,no,PDX,3925.37
117,117,no,,no,PDX,3929.06
118,118,no,,no,PDX,3925.99
119,119,no,,no,PDX,3927.83
120,120,no,,no,PDX,3925.53
121,121,no,,no,PDX,3926.92
122,122,no,,no,PDX,3928.45
123,123,no,,no,PDX,3923.99
124,124,no,,no,PDX,3935.68
125,125,no,,no,PDX,3927.06
126,126,no,,no,PDX,3929.97
127,127,no,,no,PDX,3933.66
128,128,no,,no,PDX,3943.52
129,129,no,,no,PDX,3954.2
130,130,no,,no,PDX,3997.84
131,131,no,,no,PDX,4038.37
132,132,no,,no,PDX,3871.08
133,133,no,,no,PDX,3879.18
134,134,no,,no,PDX,3865.98
135,135,no,,no,PDX,3613.79
136,136,no,,no,PDX,3715.9
137,137,no,,no,PDX,3463.39
138,138,no,,no,PDX,3459.19
139,139,no,,no,PDX,3549.27
140,140,no,,no,PDX,3657.26
141,141,no,,no,PDX,3481.39
142,142,no,,no,PDX,3476.77
143,143,no,,no,PDX,3517.04
144,144,no,,no,PDX,3618.26
145,145,no,,no,PDX,3718.65
146,146,no,,no,PDX,3711.24
147,147,no,,no,PDX,3758.42
148,148,no,,no,PDX,3818.06
149,149,no,,no,PDX,3816.03
150,150,no,,no,PDX,3810.02
151,151,no,,no,PDX,3869.71
152,152,no,,no,PDX,3853.43
153,153,no,,no,PDX,3856.73
154,154,no,,no,PDX,3855.71
155,155,no,,no,PDX,3865.68
156,156,no,,no,PDX,3884.09
157,157,no,,no,PDX,3868.16
158,158,no,,no,PDX,3861.88
159,159,no,,no,PDX,3863.06
160,160,no,,no,PDX,3864.78
161,161,no,,no,PDX,3845.69
162,162,no,,no,PDX,3787.35
163,163,no,,no,PDX,3847.52
164,164,no,,no,PDX,3775.42
165,165,no,,no,PDX,3778.53
166,166,no,,no,PDX,3770.27
167,167,no,,no,PDX,3771.33
168,168,no,,no,PDX,3768.51
169,169,no,,no,PDX,3732.83
170,170,no,,no,PDX,3739.81
171,171,no,,no,PDX,3744.03
172,172,no,,no,PDX,3845.39
173,173,no,,no,PDX,3822.98
174,174,no,,no,PDX,3776.34
175,175,no,,no,PDX,3785.01
176,176,no,,no,PDX,3767.31
177,177,no,,no,PDX,3760.12
178,178,no,,no,PDX,3733.28
179,179,no,,no,PDX,3753.37
180,180,no,,no,PDX,3757.01
181,181,no,,no,PDX,3773.33
182,182,no,,no,PDX,3747.73
183,183,no,,no,PDX,3767.41
184,184,no,,no,PDX,3769.43
185,185,no,,no,PDX,3773.52
186,186,no,,no,PDX,3776.59
187,187,no,,no,PDX,3784.1
188,188,no,,no,PDX,3787.39
189,189,no,,no,PDX,3814.2
190,190,no,,no,PDX,3909.12
191,191,no,,no,PDX,3763.08
192,192,no,,no,PDX,3758.14
193,193,no,,no,PDX,3758.07
194,194,no,,no,PDX,3754.96
195,195,no,,no,PDX,3767.66
196,196,no,,no,PDX,3776.72
197,197,no,,no,PDX,3781.6
198,198,no,,no,PDX,3664.58
199,199,no,,no,PDX,3958.67
200,200,no,,no,PDX,3654.46
201,201,no,,no,PDX,3638.74
202,202,no,,no,PDX,3446.17
203,203,no,,no,PDX,3666.19
204,204,no,,no,PDX,3761.23
205,205,no,,no,PDX,3770.22
206,206,no,,no,PDX,3773.15
207,207,no,,no,PDX,3785.8
208,208,no,,no,PDX,3786.98
209,209,no,,no,PDX,3688.17
210,210,no,,no,PDX,3741.18
211,211,no,,no,PDX,3876.08
212,212,no,,no,PDX,3898.24
213,213,no,,no,PDX,3886.97
214,214,no,,no,PDX,3566.96
215,215,no,,no,PDX,3538.56
216,216,no,,no,PDX,3864.96
217,217,no,,no,PDX,3494.7
218,218,no,,no,PDX,3475.36
219,219,no,,no,PDX,3533.4
220,220,no,,no,PDX,3477.82
221,221,no,,no,PDX,3488.85
222,222,no,,no,PDX,3489.62
223,223,no,,no,PDX,3481.91
224,224,no,,no,PDX,3484.54
225,225,no,,no,PDX,3486.23
226,226,no,,no,PDX,3481.95
227,227,no,,no,PDX,3844.33
228,228,no,,no,PDX,3542.14
229,229,no,,no,PDX,3924.66
230,230,no,,no,PDX,3570.16
231,231,no,,no,PDX,3484.05
232,232,no,,no,PDX,3912.61
233,233,no,,no,PDX,4132.25
234,234,no,,no,PDX,4321.4
235,235,no,,no,PDX,4354.01
236,236,no,,no,PDX,4345.02
237,237,no,,no,PDX,4330.67
238,238,no,,no,PDX,4284.01
239,239,no,,no,PDX,4319.05
240,240,no,,no,PDX,4021.46
241,241,no,,no,PDX,4059.33
242,242,no,,no,PDX,3946.13
243,243,no,,no,PDX,4001.15
244,244,no,,no,PDX,NA
245,245,no,,no,PDX,3316.85
246,246,no,,no,PDX,3319.91
247,247,no,,no,PDX,3332.85
248,248,no,,no,PDX,3482.19
249,249,no,,no,PDX,3088.22
250,250,no,,no,PDX,3185.1
251,251,no,,no,PDX,3203.86
252,252,no,,no,PDX,3161.05
253,253,no,,no,PDX,3152.65
254,254,no,,no,PDX,3328.86
255,255,no,,no,PDX,3392.49
256,256,no,,no,PDX,2972.87
257,257,no,,no,PDX,2973.79
258,258,no,,no,PDX,2994.07
259,259,no,,no,PDX,3311.49
260,260,no,,no,PDX,3123.66
261,261,no,,no,PDX,3134.77
262,262,no,,no,PDX,3130.31
263,263,no,,no,PDX,3144.71
264,264,no,,no,PDX,3301.04
265,265,no,,no,PDX,3261.78
266,266,no,,no,PDX,3253.61
267,267,no,,no,PDX,3266.66
268,268,no,,no,PDX,3256.28
269,269,no,,no,PDX,3251.21
270,270,no,,no,PDX,3093.5
271,271,no,,no,PDX,3328.94
272,272,no,,no,PDX,3310.38
273,273,no,,no,PDX,3279.91
274,274,no,,no,PDX,3247.89
275,275,no,,no,PDX,3189.41
276,276,no,,no,PDX,3198.07
277,277,no,,no,PDX,2875.58
278,278,no,,no,PDX,3135.33
279,279,no,,no,PDX,3092.34
280,280,no,,no,PDX,3108.18
281,281,no,,no,PDX,3152.61
282,282,no,,no,PDX,3126.19
283,283,no,,no,PDX,3111.14
284,284,no,,no,PDX,3036.77
285,285,no,,no,PDX,3033.38
286,286,no,,no,PDX,3038.42
287,287,no,,no,PDX,2904.06
288,288,no,,no,PDX,2939.4
289,289,no,,no,PDX,2935.78
290,290,no,,no,PDX,2704.02
291,291,no,,no,PDX,2529.12
292,292,no,,no,PDX,2525.61
293,293,no,,no,PDX,2754.22
294,294,no,,no,PDX,2744.85
295,295,no,,no,PDX,2770.16
296,296,no,,no,PDX,2610.03
297,297,no,,no,PDX,2629.3
298,298,no,,no,PDX,2626.74
299,299,no,,no,PDX,2640.69
300,300,no,,no,PDX,2639.75
301,301,no,,no,PDX,2629.54
302,302,no,,no,PDX,2578.29
303,303,no,,no,PDX,2328.14
304,304,no,,no,PDX,2579.43
305,305,no,,no,PDX,2425.34
306,306,no,,no,PDX,2291.7
307,307,no,,no,PDX,2295.76
308,308,no,,no,PDX,2292.92
309,309,no,,no,PDX,2302.63
310,310,no,,no,PDX,2302.28
311,311,no,,no,PDX,2288.58
312,312,no,,no,PDX,2307.27
313,313,no,,no,PDX,2313.35
314,314,no,,no,PDX,2267.52
315,315,no,,no,PDX,2242.35
316,316,no,,no,PDX,2261.22
317,317,no,,no,PDX,2283.44
318,318,no,,no,PDX,2289.54
319,319,no,,no,PDX,2284.15
320,320,no,,no,PDX,2283.32
321,321,no,,no,PDX,2289.72
322,322,no,,no,PDX,2284.86
323,323,no,,no,PDX,2278.66
324,324,no,,no,PDX,2281.01
325,325,no,,no,PDX,2334.44
326,326,no,,no,PDX,2340.91
327,327,no,,no,PDX,2366.66
328,328,no,,no,PDX,2369.3
329,329,no,,no,PDX,2374.61
330,330,no,,no,PDX,2245.36
331,331,no,,no,PDX,2196.83
332,332,no,,no,PDX,2055.24
333,333,no,,no,PDX,2058.17
334,334,no,,no,PDX,815.68
335,335,no,,no,PDX,901.37
336,336,no,,no,PDX,677.16
337,337,no,,no,PDX,675.39
338,338,no,,no,PDX,2753.25
339,339,no,,no,PDX,2798.94
340,340,no,,no,PDX,2796.95
341,341,no,,no,PDX,2768.58
342,342,no,,no,PDX,2793.58
343,343,no,,no,PDX,2787.29
344,344,no,,no,PDX,2803.94
345,345,no,,no,PDX,2800.48
346,346,no,,no,PDX,2808.97
347,347,no,,no,PDX,2806.56
348,348,no,,no,PDX,2808.11
349,349,no,,no,PDX,2809.67
350,350,no,,no,PDX,2786.87
351,351,no,,no,PDX,2784.02
352,352,no,,no,PDX,2781.7
353,353,no,,no,PDX,2819.77
354,354,no,,no,PDX,2817.83
355,355,no,,no,PDX,2819.78
356,356,no,,no,PDX,2824.44
357,357,no,,no,PDX,2811.24
358,358,no,,no,PDX,2811.27
359,359,no,,no,PDX,2805.81
360,360,no,,no,PDX,2800
361,361,no,,no,PDX,2825.61
362,362,no,,no,PDX,2812.39
363,363,no,,no,PDX,2807.74
364,364,no,,no,PDX,2813.58
365,365,no,,no,PDX,2812.4
366,366,no,,no,PDX,2814.74
367,367,no,,no,PDX,2809.71
368,368,no,,no,PDX,2813.2
369,369,no,,no,PDX,NA
370,370,no,,no,PDX,2649.19
371,371,no,,no,PDX,2745.26
372,372,no,,no,PDX,2848.26
373,373,no,,no,PDX,2778.46
374,374,no,,no,PDX,2775.23
375,375,no,,no,PDX,2775.14
376,376,no,,no,PDX,2746.46
377,377,no,,no,PDX,2756.71
378,378,no,,no,PDX,2721.75
379,379,no,,no,PDX,2423.69
