"","ZIP","NUMB","ZIP_END","lng_start","lat_start","lng_end","lat_end","distance_metres","zip_tot_dist","distance_reed_pdx","RPK","portland_native"
"1","01037",1,"97218",-72.19,42.38,-122.59,45.58,3986128.87321534,3986128.87321534,"20.9215","90","no"
"2","01068",1,"97218",-72.05,42.35,-122.59,45.58,3998036.98510716,3998036.98510716,"20.9215","90","no"
"3","01072",1,"97218",-72.42,42.46,-122.59,45.58,3965254.75661629,3965254.75661629,"20.9215","90","no"
"4","01075",1,"97218",-72.58,42.26,-122.59,45.58,3961730.06542004,3961730.06542004,"20.9215","90","no"
"5","01267",1,"97218",-73.3,42.6,-122.59,45.58,3892581.4650961,3892581.4650961,"20.9215","90","no"
"6","01451",1,"97218",-71.58,42.5,-122.59,45.58,4027135.58463278,4027135.58463278,"20.9215","90","no"
"7","01568",1,"97218",-71.6,42.18,-122.59,45.58,4039558.88504319,4039558.88504319,"20.9215","90","no"
"8","01730",1,"97218",-71.28,42.5,-122.59,45.58,4049820.74293385,4049820.74293385,"20.9215","90","no"
"9","01748",1,"97218",-71.53,42.23,-122.59,45.58,4042670.37720907,4042670.37720907,"20.9215","90","no"
"10","01772",1,"97218",-71.54,42.3,-122.59,45.58,4038850.28029596,4038850.28029596,"20.9215","90","no"
"11","01776",1,"97218",-71.42,42.39,-122.59,45.58,4044010.72793399,4044010.72793399,"20.9215","90","no"
"12","01801",2,"97218",-71.16,42.49,-122.59,45.58,4059325.05785812,8118650.11571623,"20.9215","90","no"
"13","01810",1,"97218",-71.17,42.65,-122.59,45.58,4051648.66934017,4051648.66934017,"20.9215","90","no"
"14","01845",1,"97218",-71.08,42.67,-122.59,45.58,4057580.86537947,4057580.86537947,"20.9215","90","no"
"15","01945",1,"97218",-70.84,42.51,-122.59,45.58,4082630.62643208,4082630.62643208,"20.9215","90","no"
"16","02043",1,"97218",-70.88,42.22,-122.59,45.58,4092328.20458153,4092328.20458153,"20.9215","90","no"
"17","02050",1,"97218",-70.7,42.1,-122.59,45.58,4111273.82496999,4111273.82496999,"20.9215","90","no"
"18","02066",1,"97218",-70.77,42.21,-122.59,45.58,4101093.43749938,4101093.43749938,"20.9215","90","no"
"19","02067",1,"97218",-71.19,42.11,-122.59,45.58,4073718.38747331,4073718.38747331,"20.9215","90","no"
"20","02130",2,"97218",-71.12,42.31,-122.59,45.58,4070206.52068892,8140413.04137785,"20.9215","90","no"
"21","02138",1,"97218",-71.13,42.38,-122.59,45.58,4066385.62908981,4066385.62908981,"20.9215","90","no"
"22","02140",1,"97218",-71.13,42.39,-122.59,45.58,4065948.76696175,4065948.76696175,"20.9215","90","no"
"23","02143",1,"97218",-71.1,42.38,-122.59,45.58,4068654.47043239,4068654.47043239,"20.9215","90","no"
"24","02145",1,"97218",-71.09,42.39,-122.59,45.58,4068973.65470328,4068973.65470328,"20.9215","90","no"
"25","02148",1,"97218",-71.05,42.43,-122.59,45.58,4070251.43581348,4070251.43581348,"20.9215","90","no"
"26","02176",1,"97218",-71.06,42.46,-122.59,45.58,4068187.84677913,4068187.84677913,"20.9215","90","no"
"27","02356",1,"97218",-71.12,42.06,-122.59,45.58,4081239.84865838,4081239.84865838,"20.9215","90","no"
"28","02375",1,"97218",-71.11,42.02,-122.59,45.58,4083775.99775719,4083775.99775719,"20.9215","90","no"
"29","02420",2,"97218",-71.22,42.46,-122.59,45.58,4056093.21919269,8112186.43838538,"20.9215","90","no"
"30","02421",1,"97218",-71.23,42.44,-122.59,45.58,4056206.9874107,4056206.9874107,"20.9215","90","no"
"31","02446",1,"97218",-71.12,42.34,-122.59,45.58,4068891.79348007,4068891.79348007,"20.9215","90","no"
"32","02451",1,"97218",-71.26,42.4,-122.59,45.58,4055680.14011556,4055680.14011556,"20.9215","90","no"
"33","02458",1,"97218",-71.19,42.35,-122.59,45.58,4063158.52723709,4063158.52723709,"20.9215","90","no"
"34","02460",1,"97218",-71.21,42.35,-122.59,45.58,4061645.39385257,4061645.39385257,"20.9215","90","no"
"35","02465",1,"97218",-71.23,42.35,-122.59,45.58,4060132.19703754,4060132.19703754,"20.9215","90","no"
"36","02467",1,"97218",-71.16,42.32,-122.59,45.58,4066741.56876787,4066741.56876787,"20.9215","90","no"
