"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2017",15.97,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2018",15.67,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2019",15.35,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2020",14.57,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2021",14.71,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2017",7.3,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2018",6.94,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2019",7.07,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2020",6.43,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2021",6.72,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2017",7.94,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2018",7.96,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2019",7.85,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2020",7.17,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2021",7.48,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2017",15.29,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2018",15.38,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2019",14.81,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2020",13.36,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2021",13.83,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2017",9.62,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2018",9.49,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2019",8.97,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2020",8.13,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2021",8.53,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2017",5.51,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2018",5.48,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2019",4.87,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2020",4.45,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2021",4.86,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2017",7.7,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2018",7.94,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2019",7.32,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2020",6.47,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2021",6.48,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2017",4.64,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2018",4.45,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2019",4.34,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2020",3.84,
"FRA","AIREMISSION","CO2","TONNE_CAP","A","2021",4.2,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2017",8.7,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2018",8.38,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2019",7.77,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2020",7.1,
"DEU","AIREMISSION","CO2","TONNE_CAP","A","2021",7.48,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2017",5.87,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2018",5.74,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2019",5.28,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2020",4.48,
"GRC","AIREMISSION","CO2","TONNE_CAP","A","2021",4.54,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2017",4.97,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2018",4.94,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2019",4.73,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2020",4.5,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2021",4.74,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2017",4.87,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2018",4.81,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2019",4.54,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2020",3.94,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2021",4.23,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2017",7.47,
