
ZIP                                                         , NUMB                        
""                                                          ,    5                        
"01037"                                                     ,    1                        
"01068"                                                     ,    1                        
"01072"                                                     ,    1                        
"01075"                                                     ,    1                        
"01267"                                                     ,    1                        
"01451"                                                     ,    1                        
"01568"                                                     ,    1                        
"01730"                                                     ,    1                        
"01748"                                                     ,    1                        
"01772"                                                     ,    1                        
"01776"                                                     ,    1                        
"01801"                                                     ,    2                        
"01810"                                                     ,    1                        
"01845"                                                     ,    1                        
"01945"                                                     ,    1                        
"02043"                                                     ,    1                        
"02050"                                                     ,    1                        
"02066"                                                     ,    1                        
"02067"                                                     ,    1                        
"02130"                                                     ,    2                        
"02138"                                                     ,    1                        
"02140"                                                     ,    1                        
"02143"                                                     ,    1                        
"02145"                                                     ,    1                        
"02148"                                                     ,    1                        
"02176"                                                     ,    1                        
"02356"                                                     ,    1                        
"02375"                                                     ,    1                        
"02420"                                                     ,    2                        
"02421"                                                     ,    1                        
"02446"                                                     ,    1                        
"02451"                                                     ,    1                        
"02458"                                                     ,    1                        
"02460"                                                     ,    1                        
"02465"                                                     ,    1                        
"02467"                                                     ,    1                        
"02468"                                                     ,    1                        
"02472"                                                     ,    1                        
"02474"                                                     ,    1                        
"02476"                                                     ,    1                        
"02478"                                                     ,    1                        
"02536"                                                     ,    1                        
"02632"                                                     ,    1                        
"02720"                                                     ,    1                        
"02740"                                                     ,    1                        
"02889"                                                     ,    1                        
"02905"                                                     ,    1                        
"02906"                                                     ,    1                        
"02909"                                                     ,    1                        
"03431"                                                     ,    2                        
"03801"                                                     ,    1                        
"03820"                                                     ,    1                        
"03833"                                                     ,    1                        
"04530"                                                     ,    1                        
"04609"                                                     ,    1                        
"04640"                                                     ,    1                        
"04679"                                                     ,    1                        
"05055"                                                     ,    2                        
"05301"                                                     ,    1                        
"05462"                                                     ,    1                        
"05465"                                                     ,    1                        
"06069"                                                     ,    1                        
"06355"                                                     ,    1                        
"06405"                                                     ,    1                        
"06410"                                                     ,    1                        
"06482"                                                     ,    1                        
"06840"                                                     ,    1                        
"06880"                                                     ,    1                        
"07028"                                                     ,    1                        
"07047"                                                     ,    1                        
"07076"                                                     ,    1                        
"07090"                                                     ,    1                        
"07722"                                                     ,    1                        
"07728"                                                     ,    1                        
"07853"                                                     ,    1                        
"07866"                                                     ,    1                        
"07901"                                                     ,    1                        
"07932"                                                     ,    1                        
"07934"                                                     ,    1                        
"08003"                                                     ,    1                        
"08053"                                                     ,    1                        
"08540"                                                     ,    1                        
"08550"                                                     ,    1                        
"08628"                                                     ,    1                        
"08648"                                                     ,    1                        
"08887"                                                     ,    1                        
"08904"                                                     ,    3                        
"10002"                                                     ,    2                        
"10010"                                                     ,    1                        
"10011"                                                     ,    2                        
"10014"                                                     ,    1                        
"10023"                                                     ,    2                        
"10024"                                                     ,    1                        
"10025"                                                     ,    3                        
"10026"                                                     ,    1                        
"10027"                                                     ,    3                        
"10030"                                                     ,    1                        
"10032"                                                     ,    1                        
"10033"                                                     ,    1                        
"10035"                                                     ,    1                        
"10040"                                                     ,    2                        
